isbn,title,seller,seller_country,price,author
9783832733186,Before they pass away,ma petite librairie,Frankreich,149.0,
9783832733186,Before They Pass Away (Small format edition),Byrd Books,USA,856.63,"Nelson, Jimmy"
9783832733186,Before They Pass Away (Small format edition),Book Deals,USA,858.53,
9783832733186,Before They Pass Away (Small format edition),Front Cover Books,USA,950.67,"Nelson, Jimmy"
9783832733186,Before They Pass Away (Small format edition),Wizard Books,USA,951.43,"Nelson, Jimmy"
9783832733186,Before They Pass Away (Small format edition),Campbell Bookstore,USA,1088.18,"Nelson, Jimmy"
9783832733186,Before They Pass Away,Bookbot,Tschechien,1224.5,Jimmy Nelson
9780316072618,Gossip Girl the Complete Collection,GoldBooks,USA,770.6,"von Ziegesar, Cecily"
9780316072618,Gossip Girl The Complete Collection,Bookbot,Tschechien,796.13,Cecily Von Ziegesar
9780316072618,Gossip Girl the Complete Collection,Byrd Books,USA,865.17,"von Ziegesar, Cecily"
9780316072618,Gossip Girl the Complete Collection,"GF Books, Inc.",USA,867.15,"Von Ziegesar, Cecily"
9780316072618,Gossip Girl the Complete Collection,Wizard Books,USA,1201.2,"von Ziegesar, Cecily"
9780316072618,Gossip Girl the Complete Collection,Front Cover Books,USA,1413.57,"von Ziegesar, Cecily"
9780316072618,Gossip Girl the Complete Collection,Campbell Bookstore,USA,1417.2,"von Ziegesar, Cecily"
9780316072618,Gossip Girl the Complete Collection,GoldenWavesOfBooks,USA,1432.33,"Von Ziegesar, Cecily"
9780160723001,Handbook of North American Indians - Volume 14: Southeast.,Antiquariat Ehbrecht - Preis inkl. MwSt.,Deutschland,652.0,"Sturtevant, William C. and Raymond D. Fogelson:"
9780160723001,"Handbook of North American Indians. Vol. 14, Southeast",Bookbot,Tschechien,658.5,kolektiv
9780160723001,Handbook Of North American Indians: Southeast,"GF Books, Inc.",USA,738.03,"Fogelson, Raymond"
9780160723001,Handbook Of North American Indians: Southeast,Books Unplugged,USA,738.04,"Fogelson, Raymond"
